                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.4399,                  1.364,                0.84622,                 0.6081,                0.49165,                0.46488,                0.16714,                 2.1728,                 1.3443,                  0.788,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.5585,                 1.4401,                 0.8528,                0.61815,                0.46535,                 0.4689,                0.16094,                 2.3747,                 1.4325,                0.79192,               0.001307,               0.001307,               0.001307
                     37,                 2.4867,                 1.4147,                0.84878,                0.64199,                0.50495,                0.50435,                0.18264,                 1.9931,                 1.3938,                0.79246,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.5429,                 1.4605,                0.85737,                0.66841,                0.51895,                0.54539,                 0.1606,                 2.6842,                 1.3966,                0.80479,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.4782,                 1.3731,                0.85003,                0.65544,                0.54455,                0.57925,                0.22092,                 2.1163,                 1.1799,                0.78419,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.5855,                 1.3971,                0.83956,                0.64018,                0.44554,                0.49392,                0.20432,                  1.924,                 1.2242,                0.78137,              0.0012278,              0.0012278,              0.0012278
                     41,                 2.4966,                 1.3907,                0.84819,                0.71093,                0.58442,                0.60447,                0.22976,                 2.1802,                 1.1678,                0.79282,               0.001208,               0.001208,               0.001208
                     42,                 2.4786,                 1.3491,                 0.8532,                0.66752,                0.50495,                0.54453,                0.18238,                 2.1256,                 1.1828,                0.78239,              0.0011882,              0.0011882,              0.0011882
                     43,                 2.4774,                 1.2856,                0.84029,                0.69997,                0.41579,                0.53325,                 0.1905,                 2.1648,                 1.2847,                0.78943,              0.0011684,              0.0011684,              0.0011684
                     44,                  2.443,                 1.3348,                0.83795,                0.67928,                0.54455,                0.57483,                0.23335,                 2.1284,                 1.2312,                0.78298,              0.0011486,              0.0011486,              0.0011486
                     45,                 2.4271,                 1.2942,                0.83846,                0.53376,                 0.4534,                0.43859,                0.14338,                 2.4508,                 1.4036,                0.78471,              0.0011288,              0.0011288,              0.0011288
                     46,                 2.4208,                 1.3038,                0.82155,                0.66326,                0.48755,                0.57774,                 0.2265,                 2.0079,                 1.1822,                0.78409,               0.001109,               0.001109,               0.001109
                     47,                 2.4821,                 1.3395,                0.83959,                 0.7495,                0.56436,                0.63592,                0.22437,                 2.0815,                  1.135,                0.78532,              0.0010892,              0.0010892,              0.0010892
                     48,                 2.4428,                 1.2702,                0.84897,                0.68986,                0.48515,                0.59752,                0.19776,                 2.0822,                 1.2579,                0.78218,              0.0010694,              0.0010694,              0.0010694
                     49,                 2.3447,                 1.2428,                 0.8357,                0.64139,                0.47814,                0.55158,                0.21048,                 2.0137,                 1.2516,                 0.7897,              0.0010496,              0.0010496,              0.0010496
                     50,                 2.2461,                  1.162,                0.83288,                0.61697,                0.54455,                0.58168,                0.21657,                 2.2812,                  1.143,                0.79434,              0.0010298,              0.0010298,              0.0010298
                     51,                 2.2893,                 1.1568,                0.84258,                0.68976,                0.41827,                0.51455,                0.21944,                 2.0517,                 1.1538,                0.78662,                0.00101,                0.00101,                0.00101
                     52,                 2.3308,                 1.1597,                0.83768,                 0.6742,                0.42574,                0.54193,                0.19162,                 2.2726,                 1.1533,                0.78464,              0.0009902,              0.0009902,              0.0009902
                     53,                 2.2599,                 1.2239,                0.83149,                0.65035,                0.49505,                0.54688,                0.21907,                 2.0671,                 1.1097,                0.78753,              0.0009704,              0.0009704,              0.0009704
